i_trial,n_agents,t,failed_count,converged,objective_val,N,dt,ids,radius,centralized,t_solve
0,3,3.3000000000000016,0,True,20.11861718947742,10,0.1,0.4,True,8.721678400004748,
1,3,2.9000000000000012,0,True,25.833659803446462,10,0.1,0.4,True,6.583071899949573,
2,3,3.1000000000000014,0,True,21.127404377054212,10,0.1,0.4,True,6.979648699983954,
3,3,3.0000000000000013,0,True,18.124429819910606,10,0.1,0.4,True,6.407090999942739,
4,3,2.9000000000000012,0,True,16.052241508764084,10,0.1,0.4,True,9.138523700006772,
5,3,2.9000000000000012,0,True,17.22624302023079,10,0.1,0.4,True,6.399099399975967,
6,3,3.0000000000000013,0,True,31.588676686718188,10,0.1,0.4,True,7.758407699991949,
7,3,3.4000000000000017,0,True,20.439115082564946,10,0.1,0.4,True,8.128154499980155,
8,3,3.1000000000000014,0,True,27.70355052806474,10,0.1,0.4,True,7.016107400006149,
9,3,3.2000000000000015,0,True,19.480487365857122,10,0.1,0.4,True,7.501466299989261,
10,3,2.2000000000000006,0,True,19.1265325590892,10,0.1,0.4,True,5.401911300024949,
11,3,2.9000000000000012,0,True,23.543835192130686,10,0.1,0.4,True,7.2793710000114515,
12,3,2.9000000000000012,0,True,22.838582247978184,10,0.1,0.4,True,6.443965499987826,
13,3,3.1000000000000014,0,True,21.409917954004335,10,0.1,0.4,True,7.07429439999396,
14,3,3.1000000000000014,0,True,23.325374327707515,10,0.1,0.4,True,7.692374500038568,
15,3,2.600000000000001,0,True,27.34384277351085,10,0.1,0.4,True,5.927932300022803,
16,3,2.9000000000000012,0,True,21.01552316532083,10,0.1,0.4,True,7.240886700048577,
17,3,2.2000000000000006,0,True,29.64941200074018,10,0.1,0.4,True,5.2589857000275515,
18,3,2.3000000000000007,0,True,32.25979122029111,10,0.1,0.4,True,5.7005571000045165,
19,3,2.500000000000001,0,True,26.331663157734056,10,0.1,0.4,True,5.6023937000427395,
20,3,3.2000000000000015,0,True,20.11748331327223,10,0.1,0.4,True,7.173502499994356,
21,3,2.800000000000001,0,True,26.399503105060237,10,0.1,0.4,True,6.281071099976543,
22,3,2.600000000000001,0,True,29.361383047796185,10,0.1,0.4,True,6.155226400005631,
23,3,2.2000000000000006,0,True,22.98356707223845,10,0.1,0.4,True,5.372113500023261,
24,3,2.9000000000000012,0,True,31.17442155714742,10,0.1,0.4,True,8.82838510000147,
25,3,3.3000000000000016,0,True,17.737862576747457,10,0.1,0.4,True,9.826818800007459,
26,3,3.1000000000000014,0,True,20.28539031976971,10,0.1,0.4,True,7.5649019999546,
27,3,3.1000000000000014,0,True,19.43718029845962,10,0.1,0.4,True,7.207032300007995,
28,3,2.700000000000001,0,True,20.58247301886567,10,0.1,0.4,True,6.001211999973748,
29,3,3.0000000000000013,0,True,17.391696831789055,10,0.1,0.4,True,7.341093500028364,
0,4,2.2000000000000006,0,True,33.481640535173355,10,0.1,0.4,True,9.032701599993743,
1,4,2.9000000000000012,0,True,27.12544834418254,10,0.1,0.4,True,12.12091950001195,
2,4,2.800000000000001,0,True,36.80584438398976,10,0.1,0.4,True,13.266628900018986,
3,4,2.700000000000001,0,True,43.79852080213068,10,0.1,0.4,True,15.256614400015678,
4,4,2.9000000000000012,0,True,31.04120981869118,10,0.1,0.4,True,13.22707670001546,
5,4,3.0000000000000013,0,True,19.00958912084279,10,0.1,0.4,True,13.163168900005985,
6,4,4.100000000000001,0,True,32.51152359436611,10,0.1,0.4,True,43.43002860003617,
7,4,3.3000000000000016,0,True,24.607288051411523,10,0.1,0.4,True,14.508057700004429,
8,4,2.800000000000001,0,True,28.268960637509252,10,0.1,0.4,True,13.8202781000291,
9,4,2.800000000000001,0,True,24.49945789208875,10,0.1,0.4,True,14.073837699950673,
10,4,3.2000000000000015,0,True,25.836097474950076,10,0.1,0.4,True,17.918479699990712,
11,4,3.2000000000000015,0,True,19.36310581080809,10,0.1,0.4,True,15.118624900002033,
